latitude,longitude,altitude,geometry
55.566181,37.578612,,Point
55.566181,37.578612,,Point
55.566181,37.578612,,Point
55.566181,37.578612,,Point
55.566181,37.578612,,Point
55.869647,37.619405,,Point
55.600359,37.664734,,Point
55.600359,37.664734,,Point
55.681757,37.524848,,Point
55.867556,37.603361,,Point
55.865152,37.472081,,Point
55.887569,37.647163,,Point
55.849903,37.503001,,Point
55.741764,37.520348,,Point
55.734628,37.52351,,Point
55.542207,37.527507,,Point
55.613687,37.713773,,Point
55.613687,37.713773,,Point
55.757369,37.557807,,Point
55.82848,37.448042,,Point
55.599677,37.512892,,Point
55.859418,37.427875,,Point
55.31347,37.184872,,Point
55.767306,37.55796,,Point
55.825477,37.827068,,Point
55.851909,37.68102,,Point
55.71765,37.89526,,Point
55.71765,37.89526,,Point
55.524355,37.513961,,Point
55.524355,37.513961,,Point
55.646035,37.503666,,Point
55.761897,37.715938,,Point
55.761897,37.715938,,Point
55.465789,36.932688,,Point
55.544861,37.351563,,Point
55.616249,37.42642,,Point
55.833693,37.421515,,Point
55.675915,37.681541,,Point
55.843247,38.413686,,Point
54.852537,38.564612,,Point
55.816434,37.846553,,Point
55.572558,37.487335,,Point
55.5718,37.492886,,Point
55.5718,37.492886,,Point
55.724165,37.411732,,Point
55.70004,37.747639,,Point
55.70004,37.747639,,Point
55.839699,37.539248,,Point
55.839699,37.539248,,Point
55.839699,37.539248,,Point
55.80103,37.766998,,Point
55.803024,37.60849,,Point
55.803024,37.60849,,Point
55.790767,37.687946,,Point
55.868748,37.535475,,Point
55.868748,37.535475,,Point
55.868748,37.535475,,Point
55.868748,37.535475,,Point
55.868748,37.535475,,Point
55.868748,37.535475,,Point
55.849842,37.63509,,Point
55.476113,37.302884,,Point
55.476113,37.302884,,Point
55.476113,37.302884,,Point
55.585464,37.66539,,Point
55.585464,37.66539,,Point
55.778558,37.600747,,Point
55.566318,37.571956,,Point
55.794345,37.511877,,Point
55.794345,37.511877,,Point
55.724753,37.467302,,Point
55.724753,37.467302,,Point
55.787401,37.441,,Point
55.519595,37.656335,,Point
55.77552,37.493937,,Point
55.597938,37.60885,,Point
55.597938,37.60885,,Point
55.87387,37.631784,,Point
55.87387,37.631784,,Point
55.87387,37.631784,,Point
55.768785,37.629601,,Point
55.803494,37.809309,,Point
55.875551,37.534909,,Point
55.875551,37.534909,,Point
55.875551,37.534909,,Point
55.683052,37.852015,,Point
55.743978,37.400881,,Point
55.883242,37.489742,,Point
55.883242,37.489742,,Point
55.608556,37.73014,,Point
55.838384,37.416125,,Point
55.670087,37.647738,,Point
55.740046,37.660889,,Point
55.740046,37.660889,,Point
55.740046,37.660889,,Point
55.740046,37.660889,,Point
55.50417,37.594315,,Point
55.781595,37.46317,,Point
55.712812,37.485367,,Point
55.644999,37.486275,,Point
55.856159,37.567509,,Point
55.847235,37.343236,,Point
55.847235,37.343236,,Point
55.847235,37.343236,,Point
55.847235,37.343236,,Point
55.847235,37.343236,,Point
55.847235,37.343236,,Point
55.847235,37.343236,,Point
55.598726,37.512209,,Point
55.890542,37.651843,,Point
55.612177,37.59922,,Point
55.612177,37.59922,,Point
55.84537,37.36387,,Point
55.84537,37.36387,,Point
55.97127,37.152191,,Point
55.97127,37.152191,,Point
55.769884,37.487829,,Point
55.758362,37.833141,,Point
55.745706,37.500908,,Point
55.811103,37.561113,,Point
55.618542,37.732072,,Point
55.66731,37.64763,,Point
55.66731,37.64763,,Point
55.800807,37.503037,,Point
55.866283,37.470392,,Point
55.866283,37.470392,,Point
55.766238,37.704664,,Point
55.584833,37.671543,,Point
55.610545,37.30945,,Point
55.608999,37.736375,,Point
55.6556,37.357905,,Point
55.738875,37.546722,,Point
55.71408,37.669019,,Point
55.537791,37.575693,,Point
55.646604,37.519413,,Point
55.793773,37.783464,,Point
55.677747,37.561104,,Point
55.728353,37.533634,,Point
55.728353,37.533634,,Point
55.593029,37.606388,,Point
55.622873,37.650469,,Point
55.622873,37.650469,,Point
55.618995,37.664006,,Point
55.810617,37.493138,,Point
55.806525,37.504681,,Point
55.813142,37.731937,,Point
55.69903,37.938711,,Point
55.606268,37.608895,,Point
55.692257,37.576681,,Point
55.692257,37.576681,,Point
55.692257,37.576681,,Point
55.692257,37.576681,,Point
55.688593,37.575352,,Point
55.688593,37.575352,,Point
55.770021,37.821571,,Point
55.597821,37.65549,,Point
55.798485,37.706533,,Point
55.836044,37.520806,,Point
55.599672,37.664599,,Point
55.515686,37.35433,,Point
55.704408,37.919002,,Point
55.868844,37.465164,,Point
55.868844,37.465164,,Point
55.775965,37.588718,,Point
55.704935,37.469764,,Point
55.763341,37.713719,,Point
55.742265,37.833635,,Point
55.742265,37.833635,,Point
55.742265,37.833635,,Point
55.742265,37.833635,,Point
55.742265,37.833635,,Point
55.742265,37.833635,,Point
